Data/Hora,Evento/Origem,Estado Resultante
20/09/2026 12:28:40,Abertura da Tranca,ABERTO
20/09/2026 12:28:43,Fechamento da Tranca,FECHADO
20/09/2026 12:28:45,Abertura da Tranca,ABERTO
20/09/2026 12:28:46,Fechamento da Tranca,FECHADO
20/09/2026 12:28:47,Abertura da Tranca,ABERTO
20/09/2026 12:28:49,Fechamento da Tranca,FECHADO
20/09/2026 12:28:51,Fechamento da Tranca,FECHADO
20/09/2026 12:28:53,Abertura da Tranca,ABERTO
20/09/2026 12:40:19,Fechamento da Tranca,FECHADO
20/09/2026 12:40:20,Abertura da Tranca,ABERTO
20/09/2026 12:40:21,Fechamento da Tranca,FECHADO
20/09/2026 12:40:22,Abertura da Tranca,ABERTO
20/09/2026 12:40:23,Fechamento da Tranca,FECHADO
20/09/2026 12:40:23,Abertura da Tranca,ABERTO
20/09/2026 12:40:24,Fechamento da Tranca,FECHADO
20/09/2026 12:40:25,Abertura da Tranca,ABERTO
20/09/2026 12:40:26,Fechamento da Tranca,FECHADO
20/09/2026 12:40:27,Abertura da Tranca,ABERTO
20/09/2026 12:40:28,Fechamento da Tranca,FECHADO
20/09/2026 12:40:28,Abertura da Tranca,ABERTO
20/09/2026 12:40:29,Fechamento da Tranca,FECHADO
20/09/2026 12:40:30,Abertura da Tranca,ABERTO
20/09/2026 12:40:31,Fechamento da Tranca,FECHADO
20/09/2026 12:40:32,Abertura da Tranca,ABERTO
20/09/2026 12:40:32,Fechamento da Tranca,FECHADO
20/09/2026 12:40:33,Abertura da Tranca,ABERTO
20/09/2026 12:40:34,Fechamento da Tranca,FECHADO
20/09/2026 12:40:35,Abertura da Tranca,ABERTO
20/09/2026 12:40:36,Fechamento da Tranca,FECHADO
20/09/2026 12:40:37,Abertura da Tranca,ABERTO
20/09/2026 12:40:38,Fechamento da Tranca,FECHADO
20/09/2026 12:40:38,Abertura da Tranca,ABERTO
20/09/2026 12:40:39,Fechamento da Tranca,FECHADO
20/09/2026 12:40:56,Abertura da Tranca,ABERTO
20/09/2026 12:40:59,Fechamento da Tranca,FECHADO
20/09/2026 12:41:00,Abertura da Tranca,ABERTO
20/09/2026 12:41:01,Fechamento da Tranca,FECHADO
20/09/2026 12:41:04,Abertura da Tranca,ABERTO
20/09/2026 12:41:05,Fechamento da Tranca,FECHADO
20/09/2026 12:41:06,Abertura da Tranca,ABERTO
20/09/2026 12:41:07,Fechamento da Tranca,FECHADO
20/09/2026 12:41:08,Abertura da Tranca,ABERTO
20/09/2026 12:41:09,Fechamento da Tranca,FECHADO
20/09/2026 12:41:10,Abertura da Tranca,ABERTO
20/09/2026 12:41:11,Fechamento da Tranca,FECHADO
20/09/2026 12:41:12,Abertura da Tranca,ABERTO
20/09/2026 12:41:13,Fechamento da Tranca,FECHADO
20/09/2026 12:41:13,Abertura da Tranca,ABERTO
20/09/2026 12:41:14,Fechamento da Tranca,FECHADO
20/09/2026 12:41:15,Abertura da Tranca,ABERTO
20/09/2026 12:41:16,Fechamento da Tranca,FECHADO
20/09/2026 12:41:17,Abertura da Tranca,ABERTO
20/09/2026 12:41:17,Fechamento da Tranca,FECHADO
20/09/2026 12:41:18,Abertura da Tranca,ABERTO
20/09/2026 12:41:19,Fechamento da Tranca,FECHADO
20/09/2026 12:41:20,Abertura da Tranca,ABERTO
20/09/2026 12:41:21,Fechamento da Tranca,FECHADO
20/09/2026 12:41:22,Abertura da Tranca,ABERTO
20/09/2026 12:41:22,Fechamento da Tranca,FECHADO
20/09/2026 12:41:23,Abertura da Tranca,ABERTO
20/09/2026 12:41:24,Fechamento da Tranca,FECHADO
20/09/2026 12:41:25,Abertura da Tranca,ABERTO
20/09/2026 12:41:26,Fechamento da Tranca,FECHADO
20/09/2026 12:41:26,Abertura da Tranca,ABERTO
20/09/2026 12:41:27,Fechamento da Tranca,FECHADO
20/09/2026 12:41:28,Abertura da Tranca,ABERTO
20/09/2026 12:41:29,Fechamento da Tranca,FECHADO
20/09/2026 12:41:30,Abertura da Tranca,ABERTO
20/09/2026 12:41:31,Fechamento da Tranca,FECHADO
20/09/2026 12:41:31,Abertura da Tranca,ABERTO
20/09/2026 12:41:32,Fechamento da Tranca,FECHADO
20/09/2026 12:41:33,Abertura da Tranca,ABERTO
20/09/2026 12:41:34,Fechamento da Tranca,FECHADO
20/09/2026 12:41:35,Abertura da Tranca,ABERTO
20/09/2026 12:41:35,Fechamento da Tranca,FECHADO
20/09/2026 12:41:36,Abertura da Tranca,ABERTO
20/09/2026 12:41:37,Fechamento da Tranca,FECHADO
20/09/2026 12:41:38,Abertura da Tranca,ABERTO
20/09/2026 12:41:39,Fechamento da Tranca,FECHADO
20/09/2026 12:41:39,Abertura da Tranca,ABERTO
20/09/2026 12:41:40,Fechamento da Tranca,FECHADO
20/09/2026 12:41:41,Abertura da Tranca,ABERTO
20/09/2026 12:41:42,Fechamento da Tranca,FECHADO
20/09/2026 12:41:43,Abertura da Tranca,ABERTO
20/09/2026 13:10:46,Abertura da Tranca,ABERTO
20/09/2026 13:10:47,Fechamento da Tranca,FECHADO
20/09/2026 13:10:48,Abertura da Tranca,ABERTO
20/09/2026 13:10:48,Fechamento da Tranca,FECHADO
20/09/2026 13:10:49,Abertura da Tranca,ABERTO
20/09/2026 13:10:50,Fechamento da Tranca,FECHADO
20/09/2026 13:10:51,Abertura da Tranca,ABERTO
20/09/2026 13:10:52,Fechamento da Tranca,FECHADO
20/09/2026 13:10:52,Abertura da Tranca,ABERTO
20/09/2026 13:10:53,Fechamento da Tranca,FECHADO
20/09/2026 13:10:54,Abertura da Tranca,ABERTO
20/09/2026 13:10:55,Fechamento da Tranca,FECHADO
20/09/2026 13:10:56,Abertura da Tranca,ABERTO
20/09/2026 13:10:57,Fechamento da Tranca,FECHADO
20/09/2026 13:10:58,Abertura da Tranca,ABERTO
20/09/2026 13:10:58,Fechamento da Tranca,FECHADO
20/09/2026 13:10:59,Abertura da Tranca,ABERTO
20/09/2026 14:22:27,Alimentador Gato,RAÇÃO SERVIDA
20/09/2026 14:22:30,Alimentador Gato,RAÇÃO SERVIDA
20/09/2026 14:22:34,Alimentador Gato,RAÇÃO SERVIDA
20/09/2026 14:22:39,Alimentador Gato,RAÇÃO SERVIDA
20/09/2026 14:22:54,Alimentador Gato,RAÇÃO SERVIDA
20/09/2026 14:22:57,Alimentador Gato,RAÇÃO SERVIDA
